"","lon","lat"
"741",-70.274,-19.206
"742",-70.272,-19.204
"743",-70.272,-19.203
"744",-70.271,-19.203
"745",-70.271,-19.201
"746",-70.27,-19.2
"747",-70.27,-19.198
"748",-70.269,-19.196
"749",-70.27,-19.195
"750",-70.27,-19.194
"751",-70.27,-19.193
"752",-70.27,-19.193
"753",-70.272,-19.191
"754",-70.272,-19.19
"755",-70.274,-19.188
"756",-70.274,-19.187
"757",-70.275,-19.185
"758",-70.275,-19.183
"759",-70.276,-19.182
"760",-70.276,-19.181
"761",-70.275,-19.18
"762",-70.276,-19.179
"763",-70.276,-19.177
"764",-70.277,-19.176
"765",-70.277,-19.175
"766",-70.276,-19.174
"767",-70.276,-19.172
"768",-70.275,-19.171
"769",-70.275,-19.17
"770",-70.276,-19.169
"771",-70.276,-19.168
"772",-70.277,-19.168
"773",-70.277,-19.166
"774",-70.276,-19.165
"775",-70.276,-19.164
"776",-70.275,-19.163
"777",-70.275,-19.16
"778",-70.275,-19.16
"779",-70.273,-19.16
"780",-70.273,-19.159
"781",-70.273,-19.157
"782",-70.272,-19.156
"783",-70.272,-19.152
"784",-70.273,-19.151
"785",-70.273,-19.149
"786",-70.272,-19.148
"787",-70.272,-19.148
"788",-70.27,-19.145
"789",-70.27,-19.144
"790",-70.27,-19.143
"791",-70.273,-19.141
"792",-70.273,-19.14
"793",-70.275,-19.138
"794",-70.275,-19.137
"795",-70.276,-19.136
"796",-70.277,-19.136
"797",-70.277,-19.136
"798",-70.277,-19.135
"799",-70.279,-19.133
"800",-70.281,-19.133
"801",-70.281,-19.133
"802",-70.281,-19.131
"803",-70.28,-19.13
"804",-70.28,-19.128
"805",-70.285,-19.123
"806",-70.285,-19.119
"807",-70.286,-19.118
"808",-70.286,-19.118
"809",-70.285,-19.117
"810",-70.285,-19.115
"811",-70.283,-19.113
"812",-70.283,-19.112
"813",-70.284,-19.111
"814",-70.284,-19.11
"815",-70.285,-19.109
"816",-70.285,-19.105
"817",-70.284,-19.105
"818",-70.283,-19.105
"819",-70.283,-19.104
"820",-70.285,-19.103
"821",-70.285,-19.1
"822",-70.285,-19.099
"823",-70.285,-19.098
"824",-70.287,-19.097
"825",-70.287,-19.093
"826",-70.289,-19.092
"827",-70.289,-19.09
"828",-70.29,-19.089
"829",-70.291,-19.089
"830",-70.291,-19.088
"831",-70.291,-19.087
"832",-70.292,-19.086
"833",-70.292,-19.084
"834",-70.294,-19.083
"835",-70.294,-19.082
"836",-70.295,-19.081
"837",-70.295,-19.08
"838",-70.296,-19.079
"839",-70.297,-19.079
"840",-70.298,-19.078
"841",-70.298,-19.077
"842",-70.3,-19.075
"843",-70.3,-19.074
"844",-70.297,-19.072
"845",-70.297,-19.067
"846",-70.298,-19.067
"847",-70.298,-19.066
"848",-70.299,-19.065
"849",-70.299,-19.064
"850",-70.3,-19.063
"851",-70.3,-19.063
"852",-70.3,-19.062
"853",-70.3,-19.061
"854",-70.303,-19.059
"855",-70.304,-19.059
"856",-70.306,-19.057
"857",-70.306,-19.053
"858",-70.307,-19.052
"859",-70.307,-19.05
"860",-70.308,-19.049
"861",-70.308,-19.047
"862",-70.309,-19.046
"863",-70.309,-19.045
"864",-70.309,-19.045
"865",-70.31,-19.045
"866",-70.31,-19.044
"867",-70.31,-19.043
"868",-70.311,-19.043
"869",-70.312,-19.043
"870",-70.312,-19.043
"871",-70.312,-19.042
"872",-70.313,-19.041
"873",-70.313,-19.034
"874",-70.312,-19.033
"875",-70.312,-19.031
"876",-70.315,-19.028
"877",-70.315,-19.025
"878",-70.316,-19.025
"879",-70.317,-19.025
"880",-70.319,-19.023
"881",-70.319,-19.021
"882",-70.32,-19.02
"883",-70.32,-19.013
"884",-70.318,-19.012
"885",-70.318,-19.011
"886",-70.313,-19.006
"887",-70.313,-19.004
"888",-70.314,-19.003
"889",-70.314,-19.003
"890",-70.316,-19
"891",-70.315,-18.998
"892",-70.315,-18.997
"893",-70.315,-18.996
"894",-70.315,-18.995
"895",-70.313,-18.993
"896",-70.313,-18.993
"897",-70.311,-18.991
"898",-70.311,-18.984
"899",-70.312,-18.983
"900",-70.312,-18.982
"901",-70.313,-18.981
"902",-70.313,-18.98
"903",-70.314,-18.979
"904",-70.314,-18.978
"905",-70.315,-18.977
"906",-70.315,-18.976
"907",-70.314,-18.975
"908",-70.314,-18.974
"909",-70.313,-18.973
"910",-70.313,-18.971
"911",-70.314,-18.97
"912",-70.314,-18.969
"913",-70.313,-18.968
"914",-70.313,-18.962
"915",-70.315,-18.96
"916",-70.315,-18.956
"917",-70.316,-18.955
"918",-70.315,-18.953
"919",-70.316,-18.952
"920",-70.316,-18.951
"921",-70.317,-18.95
"922",-70.317,-18.949
"923",-70.319,-18.947
"924",-70.32,-18.947
"925",-70.321,-18.946
"926",-70.322,-18.946
"927",-70.324,-18.944
"928",-70.324,-18.94
"929",-70.322,-18.938
"930",-70.322,-18.933
"931",-70.321,-18.932
"932",-70.321,-18.929
"933",-70.322,-18.928
"934",-70.322,-18.923
"935",-70.323,-18.923
"936",-70.323,-18.922
"937",-70.324,-18.921
"938",-70.324,-18.919
"939",-70.325,-18.918
"940",-70.325,-18.917
"941",-70.326,-18.915
"942",-70.326,-18.913
"943",-70.327,-18.913
"944",-70.327,-18.912
"945",-70.329,-18.91
"946",-70.329,-18.909
"947",-70.33,-18.908
"948",-70.33,-18.907
"949",-70.331,-18.906
"950",-70.33,-18.9
"951",-70.33,-18.899
"952",-70.33,-18.897
"953",-70.329,-18.896
"954",-70.329,-18.895
"955",-70.33,-18.894
"956",-70.33,-18.893
"957",-70.331,-18.892
"958",-70.331,-18.89
"959",-70.332,-18.888
"960",-70.332,-18.886
"961",-70.333,-18.885
"962",-70.333,-18.872
"963",-70.332,-18.872
"964",-70.332,-18.871
"965",-70.333,-18.87
"966",-70.333,-18.868
"967",-70.335,-18.866
"968",-70.335,-18.865
"969",-70.336,-18.864
"970",-70.336,-18.863
"971",-70.336,-18.862
"972",-70.336,-18.861
"973",-70.337,-18.86
"974",-70.337,-18.859
"975",-70.338,-18.858
"976",-70.338,-18.857
"977",-70.339,-18.856
"978",-70.339,-18.853
"979",-70.339,-18.853
"980",-70.34,-18.853
"981",-70.342,-18.851
"982",-70.342,-18.85
"983",-70.343,-18.849
"984",-70.343,-18.848
"985",-70.344,-18.847
"986",-70.345,-18.847
"987",-70.346,-18.846
"988",-70.346,-18.845
"989",-70.347,-18.844
"990",-70.347,-18.843
"991",-70.348,-18.842
"992",-70.348,-18.84
"993",-70.349,-18.839
"994",-70.349,-18.838
"995",-70.349,-18.838
"996",-70.35,-18.838
"997",-70.351,-18.837
"998",-70.352,-18.837
"999",-70.354,-18.835
"1000",-70.354,-18.833
"1001",-70.353,-18.833
"1002",-70.353,-18.832
"1003",-70.352,-18.831
"1004",-70.352,-18.828
"1005",-70.353,-18.828
"1006",-70.353,-18.825
"1007",-70.354,-18.824
"1008",-70.354,-18.823
"1009",-70.353,-18.822
"1010",-70.353,-18.821
"1011",-70.352,-18.82
"1012",-70.352,-18.818
"1013",-70.356,-18.814
"1014",-70.356,-18.813
"1015",-70.354,-18.812
"1016",-70.354,-18.809
"1017",-70.355,-18.808
"1018",-70.355,-18.807
"1019",-70.356,-18.805
"1020",-70.356,-18.802
"1021",-70.357,-18.801
"1022",-70.357,-18.8
"1023",-70.358,-18.8
"1024",-70.358,-18.8
"1025",-70.361,-18.798
"1026",-70.361,-18.796
"1027",-70.36,-18.795
"1028",-70.36,-18.793
"1029",-70.36,-18.793
"1030",-70.361,-18.793
"1031",-70.362,-18.792
"1032",-70.363,-18.792
"1033",-70.364,-18.792
"1034",-70.363,-18.791
"1035",-70.361,-18.791
"1036",-70.36,-18.79
"1037",-70.359,-18.79
"1038",-70.358,-18.789
"1039",-70.358,-18.788
"1040",-70.357,-18.788
"1041",-70.357,-18.784
"1042",-70.354,-18.781
"1043",-70.354,-18.779
"1044",-70.353,-18.778
"1045",-70.353,-18.778
"1046",-70.354,-18.778
"1047",-70.355,-18.778
"1048",-70.355,-18.775
"1049",-70.354,-18.774
"1050",-70.354,-18.772
"1051",-70.355,-18.771
"1052",-70.355,-18.767
"1053",-70.354,-18.766
"1054",-70.354,-18.765
"1055",-70.349,-18.761
"1056",-70.344,-18.76
"1057",-70.343,-18.759
"1058",-70.342,-18.759
"1059",-70.34,-18.757
